gender,religion,age_gap,profile_sim,posts,wall_words,comments,likes,locations_together,photos_together,total_friend_count,user_friends,mutuals,mutual_strength,last_comm,response
0,1,1,0.333333333,5,5098,1,19,0,0,210,10,9,0.9,6,3
0,1,2,0.333333333,1,2623,1,7,0,0,210,10,5,0.5,10,4
0,1,0,0.666666667,3,4398,5,12,0,0,210,10,6,0.6,44,2.666666667
0,1,1,0.333333333,1,6256,0,18,0,0,210,10,5,0.5,6,4
1,1,0,1,3,1050,0,1,1,1,210,10,3,0.3,44,2.666666667
0,1,1,0.333333333,0,1391,0,2,0,0,210,10,4,0.4,100,1.333333333
0,0,0,0.333333333,14,4856,18,19,0,0,210,10,9,0.9,6,4.333333333
0,1,0,0.666666667,1,4567,0,0,0,0,210,10,6,0.6,100,2
1,1,1,0.666666667,63,6495,78,100,2,3,210,10,5,0.5,8,4.666666667
1,1,1,0.666666667,12,4589,1,20,6,10,292,12,9,0.75,42,4.333333333
1,1,1,0.666666667,63,6495,78,100,1,5,292,12,5,0.416666667,1,4.666666667
1,1,0,1,3,1050,0,1,0,0,301,10,3,0.3,100,4
1,1,1,0.666666667,12,4589,1,20,0,0,301,10,9,0.9,46,3.666666667
1,1,1,0.666666667,195,9376,118,70,20,35,2499,33,26,0.787878788,1,5
1,0,1,0.333333333,203,9280,121,93,38,67,2499,33,31,0.939393939,31,5
1,1,1,0.666666667,22,8267,17,39,2,3,2499,33,14,0.424242424,82,4.333333333
1,1,0,1,7,6856,23,32,0,2,2499,33,11,0.333333333,14,3.333333333
0,1,1,0.333333333,8,7855,2,21,2,2,2499,33,12,0.363636364,14,1
0,1,1,0.333333333,1,5437,3,11,0,0,2499,33,14,0.424242424,19,2
0,1,1,0.333333333,0,6851,3,10,0,0,2499,33,12,0.363636364,18,1.333333333
1,1,1,0.666666667,4,7550,2,8,1,2,2499,33,14,0.424242424,1,1.666666667
1,1,0,1,6,4740,4,4,2,1,2499,33,11,0.333333333,100,1.333333333
1,1,1,0.666666667,195,9376,118,70,33,61,592,27,26,0.962962963,1,5
1,0,0,0.666666667,297,10109,118,74,40,82,592,27,26,0.962962963,4,5
1,1,2,0.666666667,46,7689,32,83,4,12,592,27,13,0.481481481,1,3
1,1,1,0.666666667,5,4011,3,11,1,0,592,27,11,0.407407407,100,2
0,1,2,0.333333333,3,7141,3,21,1,0,592,27,11,0.407407407,15,2
0,1,0,0.666666667,2,4743,0,8,0,1,592,27,12,0.444444444,11,2
0,1,0,0.666666667,0,6158,1,17,0,0,592,27,11,0.407407407,10,2
1,1,0,1,0,6845,1,7,0,0,592,27,13,0.481481481,1,2
0,1,1,0.333333333,0,6851,3,10,0,0,954,13,12,0.923076923,94,3
0,0,0,0.333333333,6,6464,1,13,0,2,954,13,12,0.923076923,64,3
1,1,2,0.666666667,2,6288,1,3,1,1,954,13,12,0.923076923,100,3
0,1,2,0.333333333,2,6618,0,15,0,0,954,13,13,1,2,3
0,1,1,0.333333333,2,5210,2,12,0,0,954,13,11,0.846153846,58,3
1,1,0,1,72,4297,114,155,14,24,954,13,11,0.846153846,1,4.666666667
0,1,1,0.333333333,0,3159,0,3,0,0,954,13,10,0.769230769,100,3
0,1,0,0.666666667,14,6001,11,37,5,6,954,13,11,0.846153846,70,4
1,1,0,1,7,6856,23,32,0,4,898,12,11,0.916666667,16,3.666666667
1,0,1,0.333333333,17,6455,16,24,1,4,898,12,11,0.916666667,2,4
0,1,1,0.333333333,2,6182,2,7,0,1,898,12,12,1,42,2
0,1,1,0.333333333,2,5210,2,12,0,1,898,12,11,0.916666667,43,1.666666667
1,1,1,0.666666667,77,7082,36,80,5,22,898,12,12,1,1,4.333333333
1,1,0,1,2,3063,0,6,0,0,898,12,10,0.833333333,10,2.666666667
0,1,1,0.333333333,3,3818,4,28,0,1,898,12,11,0.916666667,49,2.333333333
1,1,1,0.666666667,4,5895,5,9,1,3,898,12,11,0.916666667,44,3.666666667
1,1,1,0.666666667,22,8267,17,39,5,12,973,15,14,0.933333333,94,4.666666667
1,0,2,0.333333333,20,7825,7,60,0,6,973,15,14,0.933333333,2,4.666666667
0,1,2,0.333333333,2,6618,0,15,0,2,973,15,13,0.866666667,17,3.333333333
1,1,2,0.666666667,46,7689,32,83,4,26,973,15,13,0.866666667,10,4.333333333
1,1,1,0.666666667,77,7082,36,80,11,29,973,15,12,0.8,1,4.333333333
1,1,1,0.666666667,2,4471,3,15,0,1,973,15,11,0.733333333,100,4.333333333
0,1,2,0.333333333,0,5203,1,16,0,0,973,15,13,0.866666667,15,3.333333333
0,1,0,0.666666667,9,7614,3,18,2,5,973,15,13,0.866666667,17,3.333333333
1,1,2,0.666666667,3,7305,0,5,1,2,973,15,13,0.866666667,59,4
